"Actual","Predicted"
6000,9836.45478610943
1200,3832.72888127286
0,1957.53035215778
1200,5893.98307719825
12000,10733.2443725578
4000,8126.30602108696
3500,4060.04344838863
15200,14148.8804444067
3299,6862.5233774431
7777,12197.4426628003
7600,6611.97836597461
19950,15733.1716678073
230,3836.45603707558
400,1527.52919229927
1850,3739.08404770093
3750,5783.20429653025
5999,4576.03523167823
3800,9914.28407685004
830,3842.66796341344
6300,9141.00576950833
550,7970.14589633451
1750,7444.84735086108
999,2892.41098112049
2500,19848.0790744601
7500,10871.4956208514
1999,4697.27525905331
14990,6243.39557611732
5100,4298.53948291254
3199,5800.59769027627
19490,15728.202126737
4299,6592.07778702398
0,8869.22219718347
1599,4069.98253052921
4600,11198.4596276623
5150,6062.94193035758
4700,4700.50266495899
0,2400.64027669509
1650,6385.90618412642
4250,4738.01710845969
7200,11798.8017434721
999,8683.30393988571
4000,9247.7858466151
275,5875.34729818466
4650,6509.99874167603
650,5558.09448103103
2449,6598.43700219719
25999,17049.7371008802
4490,6611.97836597461
31900,15223.0757079728
9500,9724.49894622518
1500,4852.54545959987
450,4473.18809784323
5200,6315.00934601224
999,3741.30610031953
15900,12605.757023098
2100,6002.82166656707
1150,3579.8239734351
6700,6657.68975645128
0,11144.8820764275
8500,9197.32569552742
4950,8975.72330485249
2700,13618.884065645
3600,8015.35753691415
3300,5669.67544518413
6870,5238.85738306491
1599,4693.54810325059
1700,5959.2201708944
4500,6867.47635733696
5999,6332.74048204432
9900,2712.0181699713
4000,4527.09643529588
7500,13892.2039856654
2799,4026.25616069065
0,4709.199361832
800,7543.63670269906
2999,6472.35942400947
800,4615.29181034352
3490,6300.19557961392
8990,12623.0549447887
20000,18707.6096537883
3990,10550.7221751897
1100,511.402636329897
8000,7303.83873479301
1400,2892.41098112049
400,322.625167003966
4400,6646.50828904313
1212,7820.88956599124
1990,5839.35451904453
800,6369.73276097851
4600,11037.697721479
2850,3826.516954935
2000,10340.507039392
3500,3042.34187853304
1450,4309.72095032069
4200,8864.92210951503
99,2898.62290745836
2200,6363.66812347599
3100,6060.45715982243
1200,712.384227353122
3350,6471.11703874189
1300,4476.91525364595
81000,18764.6267705963
8400,9155.41464282217
2900,2887.4414400502
3400,5241.34215360005
13900,9093.80910829057
3100,3902.28847730692
6400,10562.6462779684
9800,8718.94395237667
2500,10207.1525844381
280,6002.43691151312
3200,8926.85769043883
800,4287.85776540142
4499,9832.30062814026
380,3837.69842234315
5200,2879.61736638104
3290,4842.60637745929
0,4691.06333271544
12900,13553.1398003725
1250,5960.37481544118
4750,1942.65886239199
1950,5241.34215360005
1299,5444.34589870648
25200,14766.4104761487
7999,6611.97836597461
16400,14116.5851093034
1400,3767.63907641206
5500,4696.77550915628
1500,4424.52932037948
900,3830.24411073772
2900,320.140396468821
700,4307.23617978555
1800,6907.73501802274
5999,11358.0817326574
8900,7449.169853199
35890,17436.1305528911
4000,9100.43362360677
99,-1193.34216377658
4950,4477.65788901649
2950,6296.4684238112
1000,6488.73090329195
1100,2825.70902892839
1490,4945.21062582077
3995,8178.60421363264
7500,7223.6198359173
6450,5728.92619701388
1690,4235.93444858689
15500,14388.6997775013
0,5960.46255616197
1200,4304.7514092504
6500,5889.27625404451
6000,6504.12455762423
0,4202.88979625946
6500,5506.92851836266
18500,14596.510621829
490,4071.22491579678
6850,5576.26764359268
4200,6237.59054528827
3500,6001.5792812995
22990,16329.0809658654
1950,3829.00172547014
890,3606.65669942467
2200,4476.91525364595
12900,12780.964626385
1984,2912.28914540165
30900,19770.5136001435
1800,4078.17947750518
2800,-1203.28124591715
3900,6315.00934601224
1450,4062.52821892377
6990,10614.8635572109
20375,17192.6205821961
2900,7549.71663877929
650,620.961446399789
1190,4475.67286837837
3330,8777.00570390513
14500,10844.6554731826
6450,8452.87255649264
1450,4474.4304831108
300,3811.60833172413
3500,3461.83118440875
200,19713.5616638228
150,16388.0033995127
2850,7293.30430611724
800,56.2737522013404
6000,11141.5667697775
5000,11524.8273630401
3999,8722.14894361289
600,563.325953144426
10500,8247.38404085107
19450,14690.4181733175
12000,17411.3633266047
400,5686.56908903311
5950,8067.80301829517
480,4065.01298945891
900,3835.21365180801
3299,4936.51392894777
4250,5233.88784199462
20999,12143.4233946912
4000,5881.55922452252
2300,4423.2869351119
5400,6828.2363398481
32000,16987.9701739803
2750,7115.56101536411
500,4073.70968633192
11500,9743.65658015004
3500,9619.38751265908
1650,4473.18809784323
13990,12478.4664617533
24800,14452.5471970946
7800,7297.62680845515
1350,12795.8732495959
5000,5884.04399505767
17900,8432.39904567629
390,8150.50668770603
6499,10213.8777345037
555,3836.45603707558
698,5152.40414318186
2500,5553.12493996074
1950,9103.41814403894
900,1568.27104170565
1750,7860.79392321452
6500,6965.74538700925
10990,13111.8164061007
1350,6208.25063409408
1100,4429.49886144977
6000,6065.42670089272
10800,6968.2301575444
5499,6125.02480011673
3599,6240.07531582341
2000,4846.333533262
7300,6855.66441237286
1550,4597.15578122697
0,14874.5208392673
980,4177.05657006395
2800,4534.55074690131
5350,5798.11291974112
850,2892.41098112049
2950,8645.30473947822
22900,14240.8467551151
1300,225.210190691195
10200,13014.3364093241
0,4473.18809784323
900,5965.43209723226
3300,2634.01948131337
16750,11784.510756883
300,5943.94378804413
2950,5500.73900669427
2800,9955.52567615344
3100,4418.31739404161
1450,6009.03359290493
1400,16030.9718391273
36500,13989.809290846
2499,5836.86974850938
1850,2904.83483379622
649,4067.49775999406
3500,5025.86194611785
0,2898.62290745836
3000,12283.6967970679
2999,8756.08352014621
23000,13254.2001375196
780,4692.30571798302
1900,6297.61595226623
3490,7365.34867268644
1799,4958.63471811617
7500,6904.00786222003
900,1608.23312229639
12900,12147.1505504939
3000,7656.51065939543
999,6539.41183483891
6300,6061.69954509001
1399,4474.4304831108
11850,7327.83422918575
4580,10370.6553462462
1000,5240.09976833248
12900,10380.8744473054
250,-39.3759344517393
16900,7145.36354301024
9700,11890.2245244254
10500,10342.1315620465
2450,11160.1148080703
1200,4714.16890290229
4900,4483.86981535435
16900,14462.1551833621
1250,4049.3617308775
2500,6134.96388225731
900,7134.30694976797
1700,3023.70609951945
4250,6024.90532229039
4500,12310.0297731605
4600,6151.59992185717
11000,9926.72292251598
699,481.34250443464
4220,8297.24001556161
5800,6765.4840166871
5870,17497.4488068484
3700,6611.97836597461
600,-257.993804694498
3200,7803.58391296601
2450,9606.22844629207
