"Actual","Predicted"
999,3958.25115881983
1550,3254.38792518363
13490,14431.648037667
1790,3514.51380905117
9350,8808.14977105892
950,-1000.42067729994
3200,8274.50889866062
16700,5548.52910256564
24000,11890.8391155605
14400,7502.66619691651
3500,4185.34196438536
0,3770.18134160277
750,106.05661413291
300,17557.4572522073
1700,4969.80862457151
2490,7946.05783166336
5400,5089.85612156679
0,3954.21741239113
1400,3514.51380905117
2999,5364.17594496778
5700,4885.15225357061
1800,4605.84316681021
3700,3110.62745938317
11300,15060.0297373426
1499,10082.1746983299
28250,16287.0348642922
10900,9859.62812871729
20700,12130.2972022203
390,3514.30150660755
4200,5722.62001640471
1600,5208.52501953449
2999,4851.24724468153
2100,8775.30627438792
1599,4268.49302025869
1700,5808.12559718007
600,3446.91609371662
1450,2111.89906473594
44900,19232.3861235356
450,3971.27606805748
4200,4789.87923759857
4500,4901.3616994625
12900,14650.7267199863
300,-999.359165081864
1599,3769.75673671554
989,10322.6942972077
1700,3258.20936916871
2399,4707.34589103384
2450,5134.44919002339
34000,18074.6736053913
5500,6388.54449472314
13750,8760.71629244973
2600,5158.72765156303
5950,5583.92022856004
14499,10687.3189740103
11200,7258.11132881966
699,3087.83511494885
6900,6175.02718567063
1820,4707.98279836469
120,24.7970822298694
3599,3598.10866783398
250,-999.359165081864
800,6379.52846690107
9400,5497.99004289745
9900,14203.1392980202
24890,11266.4640568917
13000,10251.9772090433
1850,4219.86468258303
10986,8710.81414011238
3999,5431.02923489375
2100,3598.74557516483
1499,8203.21148132028
6800,15411.7275927952
12000,6854.43728159528
5555,2231.08088764635
5500,8232.53487412378
2300,9917.3441421449
570,3770.60594649
1400,4179.37677515151
5500,8983.63496488765
0,-76.2810371065234
5500,5192.42035800849
4250,11648.3543377072
1500,5177.37994241242
9990,5137.2091217904
2550,4393.42347345714
1000,17274.4621658907
8500,5496.50392579214
11250,6931.76632864515
17490,11346.8756556716
3800,5346.37286389286
7950,9655.41079786035
5350,5927.32388440089
3600,6695.6002967174
1700,1560.50069708843
2800,4213.28178404059
0,12775.0951782501
800,3771.8797611517
6390,5511.22573178836
300,280.889219668707
44990,19552.7062426331
550,3971.27606805748
5490,10020.3628883375
2350,4281.09180181875
1650,3974.88520959895
4000,5306.09725890495
12600,13056.6402795056
250,-60.2838936582548
2900,4793.70068158366
6001,8558.34775133332
1850,3258.20936916871
2400,5305.4603515741
1150,5552.67036707208
30000,15625.5416318678
4450,2776.33742594905
9600,8900.91794409162
11300,5158.72765156303
8400,3109.99055205233
590,3258.63397405594
4299,4957.27298618495
6000,7863.34081086733
250,2231.29319008997
8450,9723.43311808213
1000,1780.77710364565
2200,4367.23428992496
1099,4367.8711972558
1350,3772.72897092616
999,3514.08920416393
20,5836.18265059092
1550,3223.66745294878
7990,5891.40063544154
5390,7625.43077356493
800,3259.48318383041
2200,11929.6788650962
6499,4833.76398412795
18500,14748.5426894543
2300,4213.70638892782
1950,2233.41621452613
9900,10604.631858078
7500,3876.69252720805
7900,7963.88680723876
1300,1133.82200298611
7150,5498.6269502283
500,4078.0863533715
5900,7857.24444946413
299,4387.90360992313
50,13443.8614862008
0,3771.03055137723
999,2644.81580278529
100,9658.70916909416
500,1389.06493065049
700,1389.48953553772
1500,4188.10189615236
2290,4793.70068158366
0,3514.51380905117
0,5135.29839979785
6250,1202.69353298235
4985,11343.8747932487
23900,15045.5473392119
950,5212.55876596319
1150,4835.33123150752
400,7708.93507188341
1222,3087.62281250523
800,532.098400904381
6800,5156.60462712687
7500,11352.074422033
5900,8614.40819732589
4200,8554.77471327321
12480,13523.7939337892
6250,7622.45853935431
5490,7737.83385979969
550,-1002.75600417972
8000,12939.7773191646
1700,-999.359165081864
999,12038.0325239402
4500,12816.5166573027
4880,4833.33937924072
1450,4646.75567912897
1800,4135.42061402576
1550,5810.41807194597
950,5835.33344081646
1999,8974.12608342451
950,8471.60445937763
300,3514.51380905117
2900,5346.16056144924
6900,10955.1634826764
2250,22132.0015685195
4600,5346.16056144924
0,3514.72611149478
800,-9.10792665921053
